🇨🇳电视频道,#genre#
iHOT-爱都市,http://127.0.0.1/itv/6000000006000080630.m3u8?cdn=wasusyt
iHOT-爱怀旧,http://127.0.0.1/itv/6000000006000260630.m3u8?cdn=wasusyt
iHOT-爱经典,http://127.0.0.1/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT-爱科幻,http://127.0.0.1/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT-爱科学,http://127.0.0.1/itv/6000000006000160630.m3u8?cdn=wasusyt
iHOT-爱浪漫,http://127.0.0.1/itv/6000000006000040630.m3u8?cdn=wasusyt
iHOT-爱历史,http://127.0.0.1/itv/6000000006000150630.m3u8?cdn=wasusyt
iHOT-爱旅行,http://127.0.0.1/itv/6000000006000250630.m3u8?cdn=wasusyt
iHOT-爱奇谈,http://127.0.0.1/itv/6000000006000270630.m3u8?cdn=wasusyt
iHOT-爱青春,http://127.0.0.1/itv/6000000006000100630.m3u8?cdn=wasusyt
iHOT-爱赛车,http://127.0.0.1/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT-爱体育,http://127.0.0.1/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT-爱玩具,http://127.0.0.1/itv/6000000006000220630.m3u8?cdn=wasusyt
iHOT-爱喜剧,http://127.0.0.1/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://127.0.0.1/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱幼教,http://127.0.0.1/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT-爱院线,http://127.0.0.1/itv/6000000006000030630.m3u8?cdn=wasusyt
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
中国教育电视台-1,http://127.0.0.1/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://127.0.0.1/itv/5000000011000031126.m3u8?cdn=bestzb
cgtnar-高码,http://127.0.0.1/ysptp/cgtnar.m3u8
cgtndoc-高码,http://127.0.0.1/ysptp/cgtndoc.m3u8
